combo,method,direction,width,stride,setting,attack,attack_accuracy,path
cifar10_resnet18,swmr,h2l,500,100,500-100,NN,73.496,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,Top3-NN,73.26829268292683,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,Cl-NN,75.78211382113821,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,Conf,62.752,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,Entr,61.373,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,Mentr,62.826,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,Hconf,62.495,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,SAMIA,74.01,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,NN,73.154,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,Top3-NN,73.17723577235772,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,50,1500-50,Cl-NN,73.91219512195121,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,Conf,63.682,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,Entr,61.668,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,Mentr,63.747,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,Hconf,63.683,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,SAMIA,76.348,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,NN,73.73,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,Top3-NN,73.6910569105691,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1500,100,1500-100,Cl-NN,76.3869918699187,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,Conf,58.965,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,Entr,57.909,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,Mentr,58.935,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,Hconf,59.021,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,SAMIA,73.063,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,NN,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,l2h,1000,50,1000-50,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
