,0
323,0.6896483713604082
324,0.6252374943137632
325,0.48326663088867555
326,0.5001979403725882
327,0.4288329187316124
328,0.5501612496384396
329,0.6909751072337036
330,0.42591543276798305
331,0.42636470636816975
332,0.7706713475360508
333,0.37532273448276793
334,0.5640094609489351
335,0.6004940696453487
336,0.5652459058770083
337,0.5300805327710199
338,0.5149303213444091
339,0.6885626600192141
340,0.3652521565919847
341,0.5990577375194
342,0.31675009306474533
343,0.5879796288185037
344,0.7447321168191534
345,0.43907204398015504
346,0.446567012485815
347,0.6093486309610403
348,0.6846415307722798
349,0.6398491124776031
350,0.6767310162430343
351,0.5326843775128278
352,0.3688035322772014
353,0.7482302684523184
354,0.2936855000833866
355,0.5039795888532053
356,0.6769734951697103
357,0.6606554019706128
358,0.36937273372310137
359,0.43530510744949447
360,0.6194771551267004
361,0.4747463734484232
362,0.22533038961705854
363,0.5845205135351079
364,0.6085811579266527
365,0.76169498160658
366,0.7108807345637208
367,0.7297998395969324
368,0.4984516210497422
369,0.34178540147838976
370,0.33239360531111667
371,0.8640713074774047
372,0.44899271845381405
373,0.5950487583138733
374,0.44166609069535245
375,0.6375267139201777
376,0.5267437381285859
377,0.7470896700570558
378,0.4394780060427115
379,0.5111619236297801
380,0.5125727074013419
381,0.45910850145737025
382,0.36512502080669534
383,0.5289274264492868
384,0.746723560402735
385,0.7348590065727996
386,0.5444597971238077
387,0.5585187682467079
388,0.8170351102038262
389,0.5912258612062288
390,0.6801275242663944
391,0.5532222894719483
392,0.6519229576140798
393,0.5957490030406749
394,0.6333495191052925
395,0.5874642475600247
396,0.6129252938086848
397,0.19225855659693658
398,0.3112486246632523
399,0.37678573747615235
400,0.4800463688627337
401,0.598194167676522
402,0.6749554487457529
403,0.5762208842240617
404,0.6474730943686517
405,0.6801736274428566
406,0.676511097938256
407,0.5518276852243287
408,0.5113535240401496
409,0.6960197532945083
410,0.6313209085182687
411,0.48880489301009705
412,0.5970757634090367
413,0.649233444039603
414,0.6407217265912946
415,0.46107654160239014
416,0.5837791447866172
417,0.6537083646730848
418,0.6048697197617207
419,0.60398633607253
420,0.648422094541793
421,0.2424827851814212
422,0.5658825720611363
423,0.44296083814177
424,0.5180148828318005
425,0.7469961492243117
426,0.5674594739188599
427,0.48444154420963437
428,0.7025547894305783
429,0.50129434700533
430,0.6033321750858877
431,0.5663022779860198
432,0.3676817008304082
433,0.7091386460979904
434,0.7217058809819693
435,0.7470204653703522
436,0.5478588020131678
437,0.5876189935453008
438,0.5567178014954444
439,0.7139724724399776
440,0.6143243223445704
441,0.5276494314983675
442,0.7804305007090012
443,0.8532708586093576
444,0.6575479471810453
445,0.5641676905586726
446,0.5783371173915606
447,0.5787908022337278
448,0.5218389184275369
449,0.48798561823502046
450,0.599994427265865
451,0.6189016004060456
452,0.4714864677548127
453,0.4695689513470107
454,0.5417754956734865
455,0.5559956869342462
456,0.42598553125836425
457,0.5103278580945332
458,0.19849006744115916
459,0.4316899040109273
460,0.46502929770772
461,0.4682918169184285
462,0.4114911869530296
463,0.6863359692779724
464,0.6003461785511899
465,0.6325154003199009
466,0.4979476318609529
467,0.48109629557424016
468,0.706813198171033
469,0.5804999124855174
470,0.434992239419773
471,0.6566233473474153
472,0.5135593963711003
473,0.5022337487816607
474,0.5399794471055802
475,0.5743453736603439
476,0.3898692426297748
477,0.6542018518683516
478,0.5216221882089173
479,0.6789700202814678
480,0.5283193034076794
481,0.5096965563299743
482,0.5967276895786995
483,0.6074569573809252
484,0.46101207058729265
485,0.5804577873611093
486,0.7394404542537242
487,0.4040252014360849
488,0.7409973983566193
489,0.6544431574114501
490,0.6356252162208811
491,0.4527919522621911
492,0.6074032807026442
493,0.6802347756489295
494,0.5467515811080867
495,0.33860991643405824
496,0.6539735376132706
497,0.630122019852195
498,0.18385448245222746
499,0.6359692845753397
500,0.42093864869148545
501,0.5745879131590593
502,0.5192211069715467
503,0.5023993077413039
504,0.6765805723369422
505,0.5492946589148572
506,0.708028213177467
507,0.34218234509645296
508,0.5820772307593718
509,0.5235234611926036
510,0.501946679382006
511,0.6284664121507135
512,0.5766499339518222
513,0.7236643621935279
514,0.6488622729590358
515,0.4516565803686233
516,0.5309703107375767
517,0.6896872567460175
518,0.6270053266950368
519,0.481777505504345
520,0.4448479465869867
521,0.7477157151004629
522,0.6287946263396137
523,0.38649149223610874
524,0.6051130175424955
525,0.7070201050692236
526,0.40475621942146395
527,0.5586327491162697
528,0.5418166729453202
529,0.4576544104081898
530,0.544809612233874
531,0.6359039828579861
532,0.5264729345181076
533,0.5403814750474519
534,0.47797626736052434
535,0.5627363198818236
536,0.5935960357934096
537,0.5815402035833543
538,0.5259519148680651
539,0.657251367305561
540,0.6811502570609197
541,0.4950057701111211
542,0.6792793437153124
543,0.4584836174002414
544,0.6955325493500562
545,0.38742685019645673
546,0.7584452652615804
547,0.7126388153791351
548,0.694944644323359
549,0.5559776819953464
550,0.2070289879920988
551,0.6892947856076013
552,0.5112825586374139
553,0.7341613227785782
554,0.3859379420727163
555,0.661606949039929
556,0.6476892899558195
557,0.5239172502720992
558,0.6273954628146114
559,0.7468738187986358
560,0.5983548191028368
561,0.6348636007024018
562,0.6458844572440563
563,0.5776932025314957
564,0.5363935205965266
565,0.5669643796342283
566,0.7348107671835826
567,0.7646942325682132
568,0.5822110611528432
569,0.5925101865343407
570,0.4655391806225161
571,0.6485854488872065
572,0.6178247908915279
573,0.6393253323400634
574,0.6576644952400793
575,0.4227710458081111
576,0.5782095854251952
577,0.5278860517110068
578,0.6273355473493865
579,0.593311006939297
580,0.45285794410141905
581,0.4899286414620967
582,0.544876603045815
583,0.607313465813715
584,0.5053464007853434
585,0.6518439280094426
586,0.5037011779270661
587,0.5342457420433533
588,0.5727141428100676
589,0.7601381959894279
